id,text,date,rating,correct_answer,author_id
4,answer#4,2013/1/4/5/14/1,1,0,1
5,answer#5,2013/10/4/7/17/18,8,0,1
6,answer#6,2013/9/25/1/58/21,4,0,1
7,answer#7,2013/12/20/3/35/4,2,0,0
8,answer#8,2013/9/15/13/18/31,7,0,1
9,answer#9,2014/12/3/17/12/45,1,0,0
10,answer#10,2014/11/4/0/42/47,1,0,1
11,answer#11,2015/12/19/19/57/51,0,0,1
12,answer#12,2013/9/10/9/24/25,10,0,0
13,answer#13,2013/4/22/17/13/43,10,0,0
14,answer#14,2015/8/6/15/48/19,8,0,0
15,answer#15,2015/3/18/22/14/51,1,0,1
16,answer#16,2015/1/26/5/59/15,2,0,0
17,answer#17,2015/7/27/15/54/31,7,0,1
18,answer#18,2013/8/17/10/43/46,3,0,0
19,answer#19,2013/3/4/3/40/12,8,0,0
20,answer#20,2014/8/12/10/27/31,4,0,1
21,answer#21,2014/4/3/17/32/38,3,0,0
22,answer#22,2015/1/4/10/41/29,7,0,1
23,answer#23,2014/11/18/20/45/51,0,0,0
24,answer#24,2013/2/29/14/27/7,8,0,0
25,answer#25,2015/8/1/21/41/56,3,0,0
26,answer#26,2014/11/14/23/3/3,2,0,1
27,answer#27,2014/3/23/7/34/31,6,0,1
28,answer#28,2013/10/14/17/33/14,9,0,1
29,answer#29,2015/12/1/0/33/30,4,0,0
30,answer#30,2014/7/8/2/21/50,2,0,1
31,answer#31,2013/10/9/8/2/1,3,0,0
32,answer#32,2015/3/5/8/36/23,4,0,1
33,answer#33,2013/7/8/12/39/27,5,0,1
34,answer#34,2015/11/14/14/17/28,2,0,0
35,answer#35,2013/7/26/15/14/10,2,0,0
36,answer#36,2014/9/27/14/32/23,8,0,1
37,answer#37,2015/10/8/15/11/58,2,0,1
38,answer#38,2015/1/9/20/57/51,3,0,0
39,answer#39,2015/8/24/12/54/1,7,0,1
40,answer#40,2014/5/25/21/25/29,7,0,1
